name
demo1|AGE
demo2|Y
demo2|N
demo2|R
demo2|NI
demo2|UN
demo2|OT
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|07
demo3|NI
demo3|UN
demo3|OT
demo4|A
demo4|F
demo4|M
demo4|NI
demo4|UN
demo4|OT
vital1|HT
vital2|WT
vital3|BMI
vital4|01
vital4|02
vital4|03
vital4|04
vital4|05
vital4|06
vital4|07
vital4|08
vital4|NI
vital4|UN
vital4|OT
vital5|01
vital5|02
vital5|03
vital5|04
vital5|06
vital5|NI
vital5|UN
vital5|OT
vital6|01
vital6|02
vital6|03
vital6|04
vital6|05
vital6|NI
vital6|UN
vital6|OT
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
px3410|PROCEDURE|ICD10:07BD4ZX
px3411|PROCEDURE|ICD10:07BD4ZZ
px3412|PROCEDURE|ICD10:07BG0ZX
px3413|PROCEDURE|ICD10:07BG0ZZ
px3414|PROCEDURE|ICD10:07BG3ZX
px3415|PROCEDURE|ICD10:07BH0ZX
px3416|PROCEDURE|ICD10:07BH0ZZ
px3417|PROCEDURE|ICD10:07BH3ZX
px3418|PROCEDURE|ICD10:07BJ0ZX
px3419|PROCEDURE|ICD10:07BJ0ZZ
px3420|PROCEDURE|ICD10:07BJ3ZX
px3421|PROCEDURE|ICD10:07BJ4ZX
px3422|PROCEDURE|ICD10:07BL3ZX
px3423|PROCEDURE|ICD10:07BM0ZZ
px3424|PROCEDURE|ICD10:07BM4ZZ
px3425|PROCEDURE|ICD10:07BP0ZX
px3426|PROCEDURE|ICD10:07BP0ZZ
px3427|PROCEDURE|ICD10:07BP3ZX
px3428|PROCEDURE|ICD10:07DQ3ZX
px3429|PROCEDURE|ICD10:07DR0ZX
px3430|PROCEDURE|ICD10:07DR3ZX
px3431|PROCEDURE|ICD10:07DR3ZZ
px3432|PROCEDURE|ICD10:07DS3ZX
px3433|PROCEDURE|ICD10:07L20CZ
px3434|PROCEDURE|ICD10:07LK0CZ
px3435|PROCEDURE|ICD10:07LK0ZZ
px3436|PROCEDURE|ICD10:07LK3DZ
px3437|PROCEDURE|ICD10:07LK3ZZ
px3438|PROCEDURE|ICD10:07LK4ZZ
px3439|PROCEDURE|ICD10:07Q60ZZ
px3440|PROCEDURE|ICD10:07QK0ZZ
px3441|PROCEDURE|ICD10:07QK3ZZ
px3442|PROCEDURE|ICD10:07QP0ZZ
px3443|PROCEDURE|ICD10:07T10ZZ
px3444|PROCEDURE|ICD10:07T14ZZ
px3445|PROCEDURE|ICD10:07T20ZZ
px3446|PROCEDURE|ICD10:07T24ZZ
px3447|PROCEDURE|ICD10:07T50ZZ
px3448|PROCEDURE|ICD10:07T60ZZ
px3449|PROCEDURE|ICD10:07T70ZZ
px3450|PROCEDURE|ICD10:07T74ZZ
px3451|PROCEDURE|ICD10:07T90ZZ
px3452|PROCEDURE|ICD10:07TB0ZZ
px3453|PROCEDURE|ICD10:07TB4ZZ
px3454|PROCEDURE|ICD10:07TC0ZZ
px3455|PROCEDURE|ICD10:07TC4ZZ
px3456|PROCEDURE|ICD10:07TD0ZZ
px3457|PROCEDURE|ICD10:07TD4ZZ
px3458|PROCEDURE|ICD10:07TH0ZZ
px3459|PROCEDURE|ICD10:07TJ0ZZ
px3460|PROCEDURE|ICD10:07TM0ZZ
px3461|PROCEDURE|ICD10:07TM4ZZ
px3462|PROCEDURE|ICD10:07TP0ZZ
px3463|PROCEDURE|ICD10:07TP4ZZ
px3464|PROCEDURE|ICD10:07VC0ZZ
px3465|PROCEDURE|ICD10:0890XZX
px3466|PROCEDURE|ICD10:0891XZZ
px3467|PROCEDURE|ICD10:08923ZZ
px3468|PROCEDURE|ICD10:08933ZZ
px3469|PROCEDURE|ICD10:08943ZZ
px3470|PROCEDURE|ICD10:089PXZZ
px3471|PROCEDURE|ICD10:08B43ZZ
px3472|PROCEDURE|ICD10:08BE3ZZ
px3473|PROCEDURE|ICD10:08BM0ZX
px3474|PROCEDURE|ICD10:08BN0ZX
px3475|PROCEDURE|ICD10:08BP0ZZ
px3476|PROCEDURE|ICD10:08BR0ZZ
px3477|PROCEDURE|ICD10:08BRXZZ
px3478|PROCEDURE|ICD10:08BV0ZX
px3479|PROCEDURE|ICD10:08J0XZZ
px3480|PROCEDURE|ICD10:08N0XZZ
px3481|PROCEDURE|ICD10:08N33ZZ
px3482|PROCEDURE|ICD10:08N53ZZ
px3483|PROCEDURE|ICD10:08NQXZZ
px3484|PROCEDURE|ICD10:08NRXZZ
px3485|PROCEDURE|ICD10:08P00JZ
px3486|PROCEDURE|ICD10:08P10JZ
px3487|PROCEDURE|ICD10:08Q0XZZ
px3488|PROCEDURE|ICD10:08Q1XZZ
px3489|PROCEDURE|ICD10:08Q43ZZ
px3490|PROCEDURE|ICD10:08Q7XZZ
px3491|PROCEDURE|ICD10:08QE3ZZ
px3492|PROCEDURE|ICD10:08QNXZZ
px3493|PROCEDURE|ICD10:08QPXZZ
px3494|PROCEDURE|ICD10:08QQ0ZZ
px3495|PROCEDURE|ICD10:08QQXZZ
px3496|PROCEDURE|ICD10:08QRXZZ
px3497|PROCEDURE|ICD10:08QX0ZZ
px3498|PROCEDURE|ICD10:08R00JZ
px3499|PROCEDURE|ICD10:08R10JZ
px3500|PROCEDURE|ICD10:08R8XKZ
px3501|PROCEDURE|ICD10:08R93KZ
px3502|PROCEDURE|ICD10:08R9XKZ
px3503|PROCEDURE|ICD10:08RK3JZ
px3504|PROCEDURE|ICD10:08RNX7Z
px3505|PROCEDURE|ICD10:08RPX7Z
px3506|PROCEDURE|ICD10:08RQ07Z
px3507|PROCEDURE|ICD10:08SJ3ZZ
px3508|PROCEDURE|ICD10:08SPXZZ
px3509|PROCEDURE|ICD10:08SQ0ZZ
px3510|PROCEDURE|ICD10:08SR0ZZ
px3511|PROCEDURE|ICD10:08SRXZZ
px3512|PROCEDURE|ICD10:08T0XZZ
px3513|PROCEDURE|ICD10:08T1XZZ
px3514|PROCEDURE|ICD10:08TP0ZZ
px3515|PROCEDURE|ICD10:08TR0ZZ
px3516|PROCEDURE|ICD10:08U007Z
px3517|PROCEDURE|ICD10:08U00JZ
px3518|PROCEDURE|ICD10:08U107Z
px3519|PROCEDURE|ICD10:08U8XKZ
px3520|PROCEDURE|ICD10:08U9XKZ
px3521|PROCEDURE|ICD10:08UN0JZ
px3522|PROCEDURE|ICD10:08UNXJZ
px3523|PROCEDURE|ICD10:08UNXKZ
px3524|PROCEDURE|ICD10:08UP0JZ
px3525|PROCEDURE|ICD10:08UPXJZ
px3526|PROCEDURE|ICD10:08UPXKZ
px3527|PROCEDURE|ICD10:08UQXKZ
px3528|PROCEDURE|ICD10:08UR37Z
px3529|PROCEDURE|ICD10:08URXKZ
px3530|PROCEDURE|ICD10:090KXZZ
px3531|PROCEDURE|ICD10:0953XZZ
px3532|PROCEDURE|ICD10:09540ZZ
px3533|PROCEDURE|ICD10:0954XZZ
px3534|PROCEDURE|ICD10:09550ZZ
px3535|PROCEDURE|ICD10:09560ZZ
px3536|PROCEDURE|ICD10:095G0ZZ
px3537|PROCEDURE|ICD10:095KXZZ
px3538|PROCEDURE|ICD10:095L8ZZ
px3539|PROCEDURE|ICD10:095S0ZZ
px3540|PROCEDURE|ICD10:095T0ZZ
px3541|PROCEDURE|ICD10:097F7ZZ
px3542|PROCEDURE|ICD10:097G7ZZ
px3543|PROCEDURE|ICD10:09900ZZ
px3544|PROCEDURE|ICD10:09903ZZ
px3545|PROCEDURE|ICD10:09913ZX
px3546|PROCEDURE|ICD10:0991XZX
px3547|PROCEDURE|ICD10:0991XZZ
px3548|PROCEDURE|ICD10:099500Z
px3549|PROCEDURE|ICD10:099600Z
px3550|PROCEDURE|ICD10:09960ZZ
px3551|PROCEDURE|ICD10:099K0ZZ
px3552|PROCEDURE|ICD10:099KXZX
px3553|PROCEDURE|ICD10:099L8ZX
px3554|PROCEDURE|ICD10:099N8ZZ
px3555|PROCEDURE|ICD10:099Q0ZZ
px3556|PROCEDURE|ICD10:099Q3ZX
px3557|PROCEDURE|ICD10:099Q4ZZ
px3558|PROCEDURE|ICD10:099R4ZZ
px3559|PROCEDURE|ICD10:099S40Z
px3560|PROCEDURE|ICD10:099S4ZZ
px3561|PROCEDURE|ICD10:099T40Z
px3562|PROCEDURE|ICD10:099T4ZZ
px3563|PROCEDURE|ICD10:099U4ZX
px3564|PROCEDURE|ICD10:099V4ZZ
px3565|PROCEDURE|ICD10:099W4ZZ
px3566|PROCEDURE|ICD10:099X4ZZ
px3567|PROCEDURE|ICD10:09B00ZZ
px3568|PROCEDURE|ICD10:09B0XZZ
px3569|PROCEDURE|ICD10:09B10ZX
px3570|PROCEDURE|ICD10:09B13ZX
px3571|PROCEDURE|ICD10:09B1XZZ
px3572|PROCEDURE|ICD10:09B40ZZ
px3573|PROCEDURE|ICD10:09B4XZZ
px3574|PROCEDURE|ICD10:09B50ZZ
px3575|PROCEDURE|ICD10:09B60ZZ
px3576|PROCEDURE|ICD10:09B90ZZ
px3577|PROCEDURE|ICD10:09BB0ZZ
px3578|PROCEDURE|ICD10:09BC0ZZ
px3579|PROCEDURE|ICD10:09BD0ZX
px3580|PROCEDURE|ICD10:09BD0ZZ
px3581|PROCEDURE|ICD10:09BE0ZZ
px3582|PROCEDURE|ICD10:09BK0ZZ
px3583|PROCEDURE|ICD10:09BK4ZX
px3584|PROCEDURE|ICD10:09BKXZZ
px3585|PROCEDURE|ICD10:09BL0ZZ
px3586|PROCEDURE|ICD10:09BL3ZX
px3587|PROCEDURE|ICD10:09BL4ZX
px3588|PROCEDURE|ICD10:09BL4ZZ
px3589|PROCEDURE|ICD10:09BL8ZX
px3590|PROCEDURE|ICD10:09BL8ZZ
px3591|PROCEDURE|ICD10:09BM0ZZ
px3592|PROCEDURE|ICD10:09BM4ZX
px3593|PROCEDURE|ICD10:09BM4ZZ
px3594|PROCEDURE|ICD10:09BN8ZX
px3595|PROCEDURE|ICD10:09BN8ZZ
px3596|PROCEDURE|ICD10:09BP0ZX
px3597|PROCEDURE|ICD10:09BP0ZZ
px3598|PROCEDURE|ICD10:09BP4ZZ
px3599|PROCEDURE|ICD10:09BQ0ZX
px3600|PROCEDURE|ICD10:09BQ0ZZ
px3601|PROCEDURE|ICD10:09BQ3ZZ
px3602|PROCEDURE|ICD10:09BQ4ZX
px3603|PROCEDURE|ICD10:09BQ4ZZ
px3604|PROCEDURE|ICD10:09BR0ZZ
px3605|PROCEDURE|ICD10:09BR3ZZ
px3606|PROCEDURE|ICD10:09BR4ZX
px3607|PROCEDURE|ICD10:09BR4ZZ
px3608|PROCEDURE|ICD10:09BS0ZZ
px3609|PROCEDURE|ICD10:09BS3ZX
px3610|PROCEDURE|ICD10:09BS4ZX
px3611|PROCEDURE|ICD10:09BS4ZZ
px3612|PROCEDURE|ICD10:09BT0ZZ
px3613|PROCEDURE|ICD10:09BT4ZX
px3614|PROCEDURE|ICD10:09BT4ZZ
px3615|PROCEDURE|ICD10:09BU0ZZ
px3616|PROCEDURE|ICD10:09BU4ZX
px3617|PROCEDURE|ICD10:09BU4ZZ
px3618|PROCEDURE|ICD10:09BV0ZZ
px3619|PROCEDURE|ICD10:09BV4ZX
px3620|PROCEDURE|ICD10:09BV4ZZ
px3621|PROCEDURE|ICD10:09BW0ZX
px3622|PROCEDURE|ICD10:09BW0ZZ
px3623|PROCEDURE|ICD10:09BW4ZX
px3624|PROCEDURE|ICD10:09BW4ZZ
px3625|PROCEDURE|ICD10:09BX0ZZ
px3626|PROCEDURE|ICD10:09BX4ZX
px3627|PROCEDURE|ICD10:09BX4ZZ
px3628|PROCEDURE|ICD10:09C3XZZ
px3629|PROCEDURE|ICD10:09C4XZZ
px3630|PROCEDURE|ICD10:09C90ZZ
px3631|PROCEDURE|ICD10:09CW4ZZ
px3632|PROCEDURE|ICD10:09CX4ZZ
px3633|PROCEDURE|ICD10:09DQ4ZZ
px3634|PROCEDURE|ICD10:09DR4ZZ
px3635|PROCEDURE|ICD10:09DU4ZZ
px3636|PROCEDURE|ICD10:09DV4ZZ
px3637|PROCEDURE|ICD10:09DW4ZZ
px3638|PROCEDURE|ICD10:09DX0ZZ
px3639|PROCEDURE|ICD10:09DX4ZZ
px3640|PROCEDURE|ICD10:09HE04Z
px3641|PROCEDURE|ICD10:09JDXZZ
px3642|PROCEDURE|ICD10:09JEXZZ
px3643|PROCEDURE|ICD10:09JJ8ZZ
px3644|PROCEDURE|ICD10:09JKXZZ
px3645|PROCEDURE|ICD10:09JY4ZZ
px3646|PROCEDURE|ICD10:09N90ZZ
px3647|PROCEDURE|ICD10:09NE0ZZ
px3648|PROCEDURE|ICD10:09NM4ZZ
px3649|PROCEDURE|ICD10:09P700Z
px3650|PROCEDURE|ICD10:09PKXJZ
px3651|PROCEDURE|ICD10:09Q0XZZ
px3652|PROCEDURE|ICD10:09Q50ZZ
px3653|PROCEDURE|ICD10:09Q60ZZ
px3654|PROCEDURE|ICD10:09Q90ZZ
px3655|PROCEDURE|ICD10:09QB0ZZ
px3656|PROCEDURE|ICD10:09QC0ZZ
px3657|PROCEDURE|ICD10:09QE0ZZ
px3658|PROCEDURE|ICD10:09QKXZZ
px3659|PROCEDURE|ICD10:09QM0ZZ
px3660|PROCEDURE|ICD10:09QM4ZZ
px3661|PROCEDURE|ICD10:09QS0ZZ
px3662|PROCEDURE|ICD10:09QU4ZZ
px3663|PROCEDURE|ICD10:09QW0ZZ
px3664|PROCEDURE|ICD10:09QW4ZZ
px3665|PROCEDURE|ICD10:09QX0ZZ
px3666|PROCEDURE|ICD10:09QX4ZZ
px3667|PROCEDURE|ICD10:09R807Z
px3668|PROCEDURE|ICD10:09RK07Z
px3669|PROCEDURE|ICD10:09RKXJZ
px3670|PROCEDURE|ICD10:09RL07Z
px3671|PROCEDURE|ICD10:09RL87Z
px3672|PROCEDURE|ICD10:09RM07Z
px3673|PROCEDURE|ICD10:09SL4ZZ
px3674|PROCEDURE|ICD10:09SL8ZZ
px3675|PROCEDURE|ICD10:09SM0ZZ
px3676|PROCEDURE|ICD10:09SM4ZZ
px3677|PROCEDURE|ICD10:09T0XZZ
px3678|PROCEDURE|ICD10:09T10ZZ
px3679|PROCEDURE|ICD10:09T1XZZ
px3680|PROCEDURE|ICD10:09TB0ZZ
px3681|PROCEDURE|ICD10:09TE0ZZ
px3682|PROCEDURE|ICD10:09TK4ZZ
px3683|PROCEDURE|ICD10:09TKXZZ
px3684|PROCEDURE|ICD10:09TL4ZZ
px3685|PROCEDURE|ICD10:09TL8ZZ
px3686|PROCEDURE|ICD10:09TM0ZZ
px3687|PROCEDURE|ICD10:09TQ0ZZ
px3688|PROCEDURE|ICD10:09TR0ZZ
px3689|PROCEDURE|ICD10:09TS4ZZ
px3690|PROCEDURE|ICD10:09TT0ZZ
px3691|PROCEDURE|ICD10:09TU4ZZ
px3692|PROCEDURE|ICD10:09TV4ZZ
px3693|PROCEDURE|ICD10:09TW4ZZ
px3694|PROCEDURE|ICD10:09TX4ZZ
px3695|PROCEDURE|ICD10:09U107Z
px3696|PROCEDURE|ICD10:09U10JZ
px3697|PROCEDURE|ICD10:09U1X7Z
px3698|PROCEDURE|ICD10:09U507Z
px3699|PROCEDURE|ICD10:09U607Z
px3700|PROCEDURE|ICD10:09U807Z
px3701|PROCEDURE|ICD10:09U90JZ
px3702|PROCEDURE|ICD10:09UA07Z
px3703|PROCEDURE|ICD10:09UE07Z
px3704|PROCEDURE|ICD10:09UE0JZ
px3705|PROCEDURE|ICD10:09UK07Z
px3706|PROCEDURE|ICD10:09UKX7Z
px3707|PROCEDURE|ICD10:09UL07Z
px3708|PROCEDURE|ICD10:09UL47Z
px3709|PROCEDURE|ICD10:09UM07Z
px3710|PROCEDURE|ICD10:09UM47Z
px3711|PROCEDURE|ICD10:09UM4JZ
px3712|PROCEDURE|ICD10:09W807Z
px3713|PROCEDURE|ICD10:09W90JZ
px3714|PROCEDURE|ICD10:0B110D6
px3715|PROCEDURE|ICD10:0B110F4
px3716|PROCEDURE|ICD10:0B113F4
px3717|PROCEDURE|ICD10:0B114F4
px3718|PROCEDURE|ICD10:0B21XEZ
px3719|PROCEDURE|ICD10:0B21XFZ
px3720|PROCEDURE|ICD10:0B2QX0Z
px3721|PROCEDURE|ICD10:0B518ZZ
px3722|PROCEDURE|ICD10:0B528ZZ
px3723|PROCEDURE|ICD10:0B548ZZ
px3724|PROCEDURE|ICD10:0B568ZZ
px3725|PROCEDURE|ICD10:0B578ZZ
px3726|PROCEDURE|ICD10:0B588ZZ
px3727|PROCEDURE|ICD10:0B5C8ZZ
px3728|PROCEDURE|ICD10:0B5F8ZZ
px3729|PROCEDURE|ICD10:0B5N0ZZ
px3730|PROCEDURE|ICD10:0B5N4ZZ
px3731|PROCEDURE|ICD10:0B5P4ZZ
px3732|PROCEDURE|ICD10:0B710DZ
px3733|PROCEDURE|ICD10:0B717ZZ
px3734|PROCEDURE|ICD10:0B718DZ
px3735|PROCEDURE|ICD10:0B718ZZ
px3736|PROCEDURE|ICD10:0B728ZZ
px3737|PROCEDURE|ICD10:0B730DZ
px3738|PROCEDURE|ICD10:0B738DZ
px3739|PROCEDURE|ICD10:0B748DZ
px3740|PROCEDURE|ICD10:0B768DZ
px3741|PROCEDURE|ICD10:0B778DZ
px3742|PROCEDURE|ICD10:0B778ZZ
px3743|PROCEDURE|ICD10:0B9100Z
px3744|PROCEDURE|ICD10:0B910ZZ
px3745|PROCEDURE|ICD10:0B918ZZ
px3746|PROCEDURE|ICD10:0B938ZX
px3747|PROCEDURE|ICD10:0B938ZZ
px3748|PROCEDURE|ICD10:0B948ZX
px3749|PROCEDURE|ICD10:0B958ZX
px3750|PROCEDURE|ICD10:0B968ZX
px3751|PROCEDURE|ICD10:0B978ZX
px3752|PROCEDURE|ICD10:0B978ZZ
px3753|PROCEDURE|ICD10:0B988ZX
px3754|PROCEDURE|ICD10:0B998ZX
px3755|PROCEDURE|ICD10:0B9B3ZX
px3756|PROCEDURE|ICD10:0B9B8ZX
px3757|PROCEDURE|ICD10:0B9B8ZZ
px3758|PROCEDURE|ICD10:0B9C8ZX
px3759|PROCEDURE|ICD10:0B9C8ZZ
px3760|PROCEDURE|ICD10:0B9D8ZX
px3761|PROCEDURE|ICD10:0B9F0ZZ
px3762|PROCEDURE|ICD10:0B9F4ZX
px3763|PROCEDURE|ICD10:0B9F8ZX
px3764|PROCEDURE|ICD10:0B9G8ZX
px3765|PROCEDURE|ICD10:0B9H8ZX
px3766|PROCEDURE|ICD10:0B9J3ZX
px3767|PROCEDURE|ICD10:0B9J4ZX
px3768|PROCEDURE|ICD10:0B9J8ZX
px3769|PROCEDURE|ICD10:0B9J8ZZ
px3770|PROCEDURE|ICD10:0B9K00Z
px3771|PROCEDURE|ICD10:0B9K3ZX
px3772|PROCEDURE|ICD10:0B9K40Z
px3773|PROCEDURE|ICD10:0B9K8ZX
px3774|PROCEDURE|ICD10:0B9L30Z
px3775|PROCEDURE|ICD10:0B9L3ZX
px3776|PROCEDURE|ICD10:0B9L8ZX
px3777|PROCEDURE|ICD10:0B9M8ZX
px3778|PROCEDURE|ICD10:0B9M8ZZ
px3779|PROCEDURE|ICD10:0B9N00Z
px3780|PROCEDURE|ICD10:0B9N30Z
px3781|PROCEDURE|ICD10:0B9N3ZX
px3782|PROCEDURE|ICD10:0B9N40Z
px3783|PROCEDURE|ICD10:0B9N4ZZ
px3784|PROCEDURE|ICD10:0B9P00Z
px3785|PROCEDURE|ICD10:0B9P0ZX
px3786|PROCEDURE|ICD10:0B9P30Z
px3787|PROCEDURE|ICD10:0B9P40Z
px3788|PROCEDURE|ICD10:0B9P4ZX
px3789|PROCEDURE|ICD10:0BB10ZZ
px3790|PROCEDURE|ICD10:0BB18ZX
px3791|PROCEDURE|ICD10:0BB18ZZ
px3792|PROCEDURE|ICD10:0BB28ZX
px3793|PROCEDURE|ICD10:0BB38ZX
px3794|PROCEDURE|ICD10:0BB38ZZ
px3795|PROCEDURE|ICD10:0BB43ZX
px3796|PROCEDURE|ICD10:0BB48ZX
px3797|PROCEDURE|ICD10:0BB58ZX
px3798|PROCEDURE|ICD10:0BB58ZZ
px3799|PROCEDURE|ICD10:0BB63ZX
px3800|PROCEDURE|ICD10:0BB68ZX
px3801|PROCEDURE|ICD10:0BB78ZX
px3802|PROCEDURE|ICD10:0BB78ZZ
px3803|PROCEDURE|ICD10:0BB83ZX
px3804|PROCEDURE|ICD10:0BB84ZX
px3805|PROCEDURE|ICD10:0BB88ZX
px3806|PROCEDURE|ICD10:0BBB8ZX
px3807|PROCEDURE|ICD10:0BBC0ZX
px3808|PROCEDURE|ICD10:0BBC0ZZ
px3809|PROCEDURE|ICD10:0BBC3ZX
px3810|PROCEDURE|ICD10:0BBC4ZX
px3811|PROCEDURE|ICD10:0BBC4ZZ
px3812|PROCEDURE|ICD10:0BBC8ZX
px3813|PROCEDURE|ICD10:0BBD0ZX
px3814|PROCEDURE|ICD10:0BBD3ZX
px3815|PROCEDURE|ICD10:0BBD4ZX
px3816|PROCEDURE|ICD10:0BBD4ZZ
px3817|PROCEDURE|ICD10:0BBD8ZX
px3818|PROCEDURE|ICD10:0BBD8ZZ
px3819|PROCEDURE|ICD10:0BBF0ZX
px3820|PROCEDURE|ICD10:0BBF0ZZ
px3821|PROCEDURE|ICD10:0BBF3ZX
px3822|PROCEDURE|ICD10:0BBF4ZX
px3823|PROCEDURE|ICD10:0BBF4ZZ
px3824|PROCEDURE|ICD10:0BBF8ZX
px3825|PROCEDURE|ICD10:0BBF8ZZ
px3826|PROCEDURE|ICD10:0BBG0ZZ
px3827|PROCEDURE|ICD10:0BBG3ZX
px3828|PROCEDURE|ICD10:0BBG4ZX
px3829|PROCEDURE|ICD10:0BBG4ZZ
px3830|PROCEDURE|ICD10:0BBG8ZX
px3831|PROCEDURE|ICD10:0BBH0ZX
px3832|PROCEDURE|ICD10:0BBH8ZX
px3833|PROCEDURE|ICD10:0BBJ0ZX
px3834|PROCEDURE|ICD10:0BBJ0ZZ
px3835|PROCEDURE|ICD10:0BBJ3ZX
px3836|PROCEDURE|ICD10:0BBJ4ZX
px3837|PROCEDURE|ICD10:0BBJ4ZZ
px3838|PROCEDURE|ICD10:0BBJ8ZX
px3839|PROCEDURE|ICD10:0BBK0ZZ
px3840|PROCEDURE|ICD10:0BBK3ZX
px3841|PROCEDURE|ICD10:0BBK4ZX
px3842|PROCEDURE|ICD10:0BBL3ZX
px3843|PROCEDURE|ICD10:0BBL4ZX
px3844|PROCEDURE|ICD10:0BBL4ZZ
px3845|PROCEDURE|ICD10:0BBM8ZX
px3846|PROCEDURE|ICD10:0BBN0ZZ
px3847|PROCEDURE|ICD10:0BBN3ZX
px3848|PROCEDURE|ICD10:0BBN4ZX
px3849|PROCEDURE|ICD10:0BBN4ZZ
px3850|PROCEDURE|ICD10:0BBP0ZZ
px3851|PROCEDURE|ICD10:0BBP4ZX
px3852|PROCEDURE|ICD10:0BBP4ZZ
px3853|PROCEDURE|ICD10:0BBR0ZX
px3854|PROCEDURE|ICD10:0BBR0ZZ
px3855|PROCEDURE|ICD10:0BBS0ZX
px3856|PROCEDURE|ICD10:0BBS0ZZ
px3857|PROCEDURE|ICD10:0BBS4ZX
px3858|PROCEDURE|ICD10:0BC18ZZ
px3859|PROCEDURE|ICD10:0BC28ZZ
px3860|PROCEDURE|ICD10:0BC38ZZ
px3861|PROCEDURE|ICD10:0BC48ZZ
px3862|PROCEDURE|ICD10:0BC58ZZ
px3863|PROCEDURE|ICD10:0BC68ZZ
px3864|PROCEDURE|ICD10:0BC78ZZ
px3865|PROCEDURE|ICD10:0BC88ZZ
px3866|PROCEDURE|ICD10:0BCB8ZZ
px3867|PROCEDURE|ICD10:0BCC0ZZ
px3868|PROCEDURE|ICD10:0BCC8ZZ
px3869|PROCEDURE|ICD10:0BCD0ZZ
px3870|PROCEDURE|ICD10:0BCF0ZZ
px3871|PROCEDURE|ICD10:0BCF4ZZ
px3872|PROCEDURE|ICD10:0BCF8ZZ
px3873|PROCEDURE|ICD10:0BCG0ZZ
px3874|PROCEDURE|ICD10:0BCG8ZZ
px3875|PROCEDURE|ICD10:0BCJ4ZZ
px3876|PROCEDURE|ICD10:0BCJ8ZZ
px3877|PROCEDURE|ICD10:0BCK0ZZ
px3878|PROCEDURE|ICD10:0BCL4ZZ
px3879|PROCEDURE|ICD10:0BCL8ZZ
px3880|PROCEDURE|ICD10:0BCM8ZZ
px3881|PROCEDURE|ICD10:0BCN4ZZ
px3882|PROCEDURE|ICD10:0BCP0ZZ
px3883|PROCEDURE|ICD10:0BCP4ZZ
px3884|PROCEDURE|ICD10:0BCR0ZZ
px3885|PROCEDURE|ICD10:0BDN0ZZ
px3886|PROCEDURE|ICD10:0BDN3ZZ
px3887|PROCEDURE|ICD10:0BDN4ZZ
px3888|PROCEDURE|ICD10:0BDP0ZZ
px3889|PROCEDURE|ICD10:0BDP3ZZ
px3890|PROCEDURE|ICD10:0BDP4ZZ
px3891|PROCEDURE|ICD10:0BH17EZ
px3892|PROCEDURE|ICD10:0BH18EZ
px3893|PROCEDURE|ICD10:0BHK33Z
px3894|PROCEDURE|ICD10:0BJ08ZZ
px3895|PROCEDURE|ICD10:0BJ18ZZ
px3896|PROCEDURE|ICD10:0BJK4ZZ
px3897|PROCEDURE|ICD10:0BJL4ZZ
px3898|PROCEDURE|ICD10:0BJQ3ZZ
px3899|PROCEDURE|ICD10:0BJQ4ZZ
px3900|PROCEDURE|ICD10:0BJT0ZZ
px3901|PROCEDURE|ICD10:0BJT4ZZ
px3902|PROCEDURE|ICD10:0BN14ZZ
px3903|PROCEDURE|ICD10:0BN18ZZ
px3904|PROCEDURE|ICD10:0BN34ZZ
px3905|PROCEDURE|ICD10:0BNC0ZZ
px3906|PROCEDURE|ICD10:0BNC4ZZ
px3907|PROCEDURE|ICD10:0BNK0ZZ
px3908|PROCEDURE|ICD10:0BNK4ZZ
px3909|PROCEDURE|ICD10:0BNL0ZZ
px3910|PROCEDURE|ICD10:0BNL4ZZ
px3911|PROCEDURE|ICD10:0BNN0ZZ
px3912|PROCEDURE|ICD10:0BNN3ZZ
px3913|PROCEDURE|ICD10:0BNN4ZZ
px3914|PROCEDURE|ICD10:0BNR0ZZ
px3915|PROCEDURE|ICD10:0BNR4ZZ
px3916|PROCEDURE|ICD10:0BNS0ZZ
px3917|PROCEDURE|ICD10:0BNS4ZZ
px3918|PROCEDURE|ICD10:0BP08DZ
px3919|PROCEDURE|ICD10:0BP17DZ
px3920|PROCEDURE|ICD10:0BP1XDZ
px3921|PROCEDURE|ICD10:0BP1XFZ
px3922|PROCEDURE|ICD10:0BPKX0Z
px3923|PROCEDURE|ICD10:0BPQ30Z
px3924|PROCEDURE|ICD10:0BPQX0Z
px3925|PROCEDURE|ICD10:0BPT0JZ
px3926|PROCEDURE|ICD10:0BQ10ZZ
px3927|PROCEDURE|ICD10:0BQ73ZZ
px3928|PROCEDURE|ICD10:0BQB0ZZ
px3929|PROCEDURE|ICD10:0BQJ4ZZ
px3930|PROCEDURE|ICD10:0BQR0ZZ
px3931|PROCEDURE|ICD10:0BQR4ZZ
px3932|PROCEDURE|ICD10:0BQS0ZZ
px3933|PROCEDURE|ICD10:0BQS4ZZ
px3934|PROCEDURE|ICD10:0BT10ZZ
px3935|PROCEDURE|ICD10:0BT44ZZ
px3936|PROCEDURE|ICD10:0BT50ZZ
px3937|PROCEDURE|ICD10:0BT60ZZ
px3938|PROCEDURE|ICD10:0BTC0ZZ
px3939|PROCEDURE|ICD10:0BTC4ZZ
px3940|PROCEDURE|ICD10:0BTD0ZZ
px3941|PROCEDURE|ICD10:0BTD4ZZ
